Domain,Condition,Raw_Signals,Validated_Signals,Paradigm_Signals,Segment_Count,Statistical_Significance,Detected_Years,Confidence_Scores,Signal_Types,Execution_Time
deep_learning,Citation_Direction,9,9,9,8,0.6594774957224432,"[2013, 1990, 1995, 1999, 2002, 2004, 2006, 2008, 2015]","[1.0, 0.642754662840746, 0.5781959766385465, 0.4024144869215292, 0.4351492663180976, 0.4767830687830688, 0.4034782608695652, 0.4240309829401786, 0.4326097328244275]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.11330699920654297
deep_learning,Semantic_Direction,9,9,9,8,0.6594774957224432,"[2009, 2013, 2015, 2017, 1990, 1995, 1999, 2002, 2004]","[1.0, 1.0, 1.0, 0.4, 0.642754662840746, 0.5781959766385465, 0.4024144869215292, 0.4351492663180976, 0.4767830687830688]","['validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.20375704765319824
deep_learning,All_Signals,9,9,9,8,0.6594774957224432,"[2013, 2009, 2015, 2017, 1990, 1995, 1999, 2002, 2004]","[1.0, 1.0, 1.0, 0.4, 0.642754662840746, 0.5781959766385465, 0.4024144869215292, 0.4351492663180976, 0.4767830687830688]","['validated_semantic_shift', 'validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.183668851852417
computer_vision,Citation_Only,0,0,0,7,0.6403830372472398,[],[],[],0.13399672508239746
computer_vision,Semantic_Only,4,4,4,7,0.6403830372472398,"[1994, 2001, 2014, 2016]","[0.4, 0.4, 0.6, 0.8]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.18258309364318848
computer_vision,Direction_Only,7,7,7,7,0.6403830372472398,"[1979, 1987, 1993, 1996, 2001, 2003, 2009]","[0.5751633986928105, 0.5224130708001676, 0.6049094097019287, 0.44691020826220557, 0.40907999039154463, 0.4050412435505603, 0.4139194139194139]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.11965203285217285
computer_vision,Citation_Semantic,4,4,4,7,0.6403830372472398,"[1994, 2001, 2014, 2016]","[0.4, 0.4, 0.6, 0.8]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.21094512939453125
computer_vision,Citation_Direction,7,7,7,7,0.6403830372472398,"[1979, 1987, 1993, 1996, 2001, 2003, 2009]","[0.5751633986928105, 0.5224130708001676, 0.6049094097019287, 0.44691020826220557, 0.40907999039154463, 0.4050412435505603, 0.4139194139194139]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.12082505226135254
computer_vision,Semantic_Direction,9,9,9,7,0.6403830372472398,"[1994, 2001, 2014, 2016, 1979, 1987, 1996, 2003, 2009]","[1.0, 1.0, 0.6, 0.8, 0.5751633986928105, 0.5224130708001676, 0.44691020826220557, 0.4050412435505603, 0.4139194139194139]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.21785426139831543
computer_vision,All_Signals,9,9,9,7,0.6403830372472398,"[1994, 2001, 2014, 2016, 1979, 1987, 1996, 2003, 2009]","[1.0, 1.0, 0.6, 0.8, 0.5751633986928105, 0.5224130708001676, 0.44691020826220557, 0.4050412435505603, 0.4139194139194139]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.18883371353149414
machine_learning,Citation_Only,1,1,1,10,0.6105387368935564,[2010],[np.float64(0.19707334451871947)],['validated_citation_disruption'],0.10892391204833984
machine_learning,Semantic_Only,4,4,4,10,0.6105387368935564,"[1997, 2012, 2014, 2016]","[0.4, 0.4, 0.6, 0.8]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.18244504928588867
machine_learning,Direction_Only,21,21,21,10,0.6105387368935564,"[1977, 1979, 1984, 1987, 1989, 1991, 1993, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2021, 2023]","[0.5675675675675675, 0.5677655677655677, 0.757085020242915, 0.7059716599190283, 0.42068965517241375, 0.6193941778127459, 0.5337003222341569, 0.5765795206971678, 0.4329896907216495, 0.48727136991414705, 0.41924548933843625, 0.4572090536446266, 0.44378949927078265, 0.4232558139534884, 0.40673211781206176, 0.4485049833887043, 0.4196288140924819, 0.4508774654449449, 0.4098048441666106, 0.40423065778035355, 0.4087038789025544]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.11315393447875977
machine_learning,Citation_Semantic,5,5,5,10,0.6105387368935564,"[2010, 1997, 2012, 2014, 2016]","[np.float64(0.19707334451871947), 0.4, 0.4, 0.6, 0.8]","['validated_citation_disruption', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.1967480182647705
machine_learning,Citation_Direction,19,19,19,10,0.6105387368935564,"[2010, 1977, 1979, 1984, 1987, 1989, 1991, 1993, 1995, 1997, 1999, 2001, 2003, 2005, 2012, 2014, 2016, 2021, 2023]","[np.float64(0.19707334451871947), 0.5675675675675675, 0.5677655677655677, 0.757085020242915, 0.7059716599190283, 0.42068965517241375, 0.6193941778127459, 0.5337003222341569, 0.5765795206971678, 0.4329896907216495, 0.48727136991414705, 0.41924548933843625, 0.4572090536446266, 0.44378949927078265, 0.4745605920444034, 0.45699917898193765, 0.44363144002078864, 0.40423065778035355, 0.4087038789025544]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.11407709121704102
machine_learning,Semantic_Direction,18,18,18,10,0.6105387368935564,"[1997, 2012, 2014, 2016, 1977, 1979, 1984, 1987, 1989, 1991, 1993, 1999, 2001, 2003, 2005, 2007, 2021, 2023]","[1.0, 1.0, 1.0, 1.0, 0.5675675675675675, 0.5677655677655677, 0.757085020242915, 0.7059716599190283, 0.42068965517241375, 0.6193941778127459, 0.5337003222341569, 0.48727136991414705, 0.41924548933843625, 0.4572090536446266, 0.44378949927078265, 0.4232558139534884, 0.40423065778035355, 0.4087038789025544]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.166762113571167
machine_learning,All_Signals,18,18,18,10,0.6105387368935564,"[2010, 1997, 2012, 2014, 2016, 1977, 1979, 1984, 1987, 1989, 1991, 1993, 1999, 2001, 2003, 2005, 2021, 2023]","[np.float64(0.19707334451871947), 1.0, 1.0, 1.0, 1.0, 0.5675675675675675, 0.5677655677655677, 0.757085020242915, 0.7059716599190283, 0.42068965517241375, 0.6193941778127459, 0.5337003222341569, 0.48727136991414705, 0.41924548933843625, 0.4572090536446266, 0.44378949927078265, 0.40423065778035355, 0.4087038789025544]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.18622088432312012
machine_translation,Citation_Only,0,0,0,2,0.7433054146514098,[],[],[],0.028445005416870117
machine_translation,Semantic_Only,1,1,1,2,0.7433054146514098,[2015],[0.4],['validated_semantic_shift'],0.04279184341430664
machine_translation,Direction_Only,3,3,3,2,0.7433054146514098,"[2014, 2016, 2018]","[0.4380583289542827, 0.4253259846753596, 0.4866108293028194]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.03708386421203613
machine_translation,Citation_Semantic,1,1,1,2,0.7433054146514098,[2015],[0.4],['validated_semantic_shift'],0.044931888580322266
machine_translation,Citation_Direction,3,3,3,2,0.7433054146514098,"[2014, 2016, 2018]","[0.4380583289542827, 0.4253259846753596, 0.4866108293028194]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.03787589073181152
machine_translation,Semantic_Direction,2,2,2,2,0.7433054146514098,"[2015, 2018]","[1.0, 0.4866108293028194]","['validated_direction_volatility', 'validated_direction_volatility']",0.044580936431884766
machine_translation,All_Signals,2,2,2,2,0.7433054146514098,"[2015, 2018]","[1.0, 0.4866108293028194]","['validated_direction_volatility', 'validated_direction_volatility']",0.045291900634765625
computer_science,Citation_Only,1,1,1,11,0.7532313057146355,[2012],[np.float64(0.29267275884387095)],['validated_citation_disruption'],0.09703993797302246
computer_science,Semantic_Only,3,3,3,11,0.7532313057146355,"[2001, 2014, 2016]","[0.4, 0.6, 0.6]","['validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.09320688247680664
computer_science,Direction_Only,20,20,20,11,0.7532313057146355,"[1962, 1965, 1967, 1974, 1983, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2013, 2015, 2017, 2019, 2021]","[0.9121212121212121, 0.9223529411764706, 0.8365384615384616, 0.9119999999999999, 0.8616211374832065, 0.7371007371007371, 0.5515103548344545, 0.73828125, 0.6829573934837092, 0.5054155740508494, 0.6069556415169373, 0.48982354363065017, 0.5342457283014201, 0.505702986186737, 0.48627032791255664, 0.551734591409462, 0.550439024390244, 0.4700239808153477, 0.4230769230769231, 0.4225757783568783]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.07675790786743164
computer_science,Citation_Semantic,4,4,4,11,0.7532313057146355,"[2012, 2001, 2014, 2016]","[np.float64(0.29267275884387095), 0.4, 0.6, 0.6]","['validated_citation_disruption', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_semantic_shift']",0.12340903282165527
computer_science,Citation_Direction,20,20,20,11,0.7532313057146355,"[2012, 1962, 1965, 1967, 1974, 1983, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2014, 2016, 2019, 2021]","[np.float64(0.9598355495415454), 0.9121212121212121, 0.9223529411764706, 0.8365384615384616, 0.9119999999999999, 0.8616211374832065, 0.7371007371007371, 0.5515103548344545, 0.73828125, 0.6829573934837092, 0.5054155740508494, 0.6069556415169373, 0.48982354363065017, 0.5342457283014201, 0.505702986186737, 0.48627032791255664, 0.5924159021406727, 0.49188008735358346, 0.4230769230769231, 0.4225757783568783]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.07746005058288574
computer_science,Semantic_Direction,17,17,17,11,0.7532313057146355,"[2001, 2014, 2016, 1962, 1965, 1967, 1974, 1983, 1986, 1988, 1990, 1992, 1994, 1996, 2003, 2019, 2021]","[1.0, 1.0, 1.0, 0.9121212121212121, 0.9223529411764706, 0.8365384615384616, 0.9119999999999999, 0.8616211374832065, 0.7371007371007371, 0.5515103548344545, 0.73828125, 0.6829573934837092, 0.5054155740508494, 0.6069556415169373, 0.4858205485820548, 0.4230769230769231, 0.4225757783568783]","['validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.10103511810302734
computer_science,All_Signals,18,18,18,11,0.7532313057146355,"[2012, 2001, 2014, 2016, 1962, 1965, 1967, 1974, 1983, 1986, 1988, 1990, 1992, 1994, 1996, 2003, 2019, 2021]","[np.float64(0.9598355495415454), 1.0, 1.0, 1.0, 0.9121212121212121, 0.9223529411764706, 0.8365384615384616, 0.9119999999999999, 0.8616211374832065, 0.7371007371007371, 0.5515103548344545, 0.73828125, 0.6829573934837092, 0.5054155740508494, 0.6069556415169373, 0.4858205485820548, 0.4230769230769231, 0.4225757783568783]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_semantic_shift', 'validated_semantic_shift', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.33110785484313965
art,Citation_Only,2,2,2,12,0.48929901563708117,"[1985, 1990]","[np.float64(0.1808749341164069), np.float64(0.15133781102714416)]","['validated_citation_disruption', 'validated_citation_disruption']",0.09051275253295898
art,Semantic_Only,0,0,0,12,0.48929901563708117,[],[],[],0.05368494987487793
art,Direction_Only,20,20,20,12,0.48929901563708117,"[1969, 1973, 1975, 1978, 1981, 1983, 1989, 1991, 1993, 1995, 1999, 2001, 2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023]","[0.768472906403941, 0.6814814814814816, 0.47454122512277075, 0.43539429840799704, 0.5074513766102551, 0.6123086535457669, 0.5217553688141924, 0.5633229813664596, 0.5262190025076623, 0.4395544634224944, 0.4489233595264823, 0.45198654876074235, 0.47408496732026145, 0.5051717532882135, 0.4392702464451343, 0.4512059369202226, 0.44489912447658925, 0.40539516556793215, 0.45667293233082706, 0.42457091237579037]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.06799697875976562
art,Citation_Semantic,2,2,2,12,0.48929901563708117,"[1985, 1990]","[np.float64(0.1808749341164069), np.float64(0.15133781102714416)]","['validated_citation_disruption', 'validated_citation_disruption']",0.05176711082458496
art,Citation_Direction,21,21,21,12,0.48929901563708117,"[1985, 1990, 1969, 1973, 1975, 1978, 1981, 1992, 1994, 1996, 1998, 2000, 2002, 2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023]","[np.float64(0.1808749341164069), np.float64(0.9564429161322492), 0.768472906403941, 0.6814814814814816, 0.47454122512277075, 0.43539429840799704, 0.5074513766102551, 0.560682893847194, 0.41891304347826086, 0.40879092438424713, 0.44986107602930037, 0.42770944534694827, 0.40339176829268286, 0.47408496732026145, 0.5051717532882135, 0.4392702464451343, 0.4512059369202226, 0.44489912447658925, 0.40539516556793215, 0.45667293233082706, 0.42457091237579037]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.052910804748535156
art,Semantic_Direction,20,20,20,12,0.48929901563708117,"[1969, 1973, 1975, 1978, 1981, 1983, 1989, 1991, 1993, 1995, 1999, 2001, 2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023]","[0.768472906403941, 0.6814814814814816, 0.47454122512277075, 0.43539429840799704, 0.5074513766102551, 0.6123086535457669, 0.5217553688141924, 0.5633229813664596, 0.5262190025076623, 0.4395544634224944, 0.4489233595264823, 0.45198654876074235, 0.47408496732026145, 0.5051717532882135, 0.4392702464451343, 0.4512059369202226, 0.44489912447658925, 0.40539516556793215, 0.45667293233082706, 0.42457091237579037]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.05002117156982422
art,All_Signals,21,21,21,12,0.48929901563708117,"[1985, 1990, 1969, 1973, 1975, 1978, 1981, 1992, 1994, 1996, 1998, 2000, 2002, 2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023]","[np.float64(0.1808749341164069), np.float64(0.9564429161322492), 0.768472906403941, 0.6814814814814816, 0.47454122512277075, 0.43539429840799704, 0.5074513766102551, 0.560682893847194, 0.41891304347826086, 0.40879092438424713, 0.44986107602930037, 0.42770944534694827, 0.40339176829268286, 0.47408496732026145, 0.5051717532882135, 0.4392702464451343, 0.4512059369202226, 0.44489912447658925, 0.40539516556793215, 0.45667293233082706, 0.42457091237579037]","['validated_citation_disruption', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.057872772216796875
applied_mathematics,Citation_Only,1,1,1,11,0.5998927892589356,[1987],[np.float64(0.22247094061832015)],['validated_citation_disruption'],0.04117608070373535
applied_mathematics,Semantic_Only,0,0,0,11,0.5998927892589356,[],[],[],0.03703904151916504
applied_mathematics,Direction_Only,19,19,19,11,0.5998927892589356,"[1949, 1951, 1959, 1965, 1967, 1979, 1981, 1985, 1987, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2017, 2019, 2021]","[0.765625, 0.7314285714285714, 0.7281553398058253, 0.7308612440191388, 0.6334545454545455, 0.5929608272022271, 0.8050293563753185, 0.5933077830188679, 0.5583941605839415, 0.4352318548387097, 0.43781406075786966, 0.48816936488169366, 0.4205204498461849, 0.4639284821205302, 0.5307457607228774, 0.514854874041621, 0.5303571428571429, 0.5137254901960785, 0.49434274091024655]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.03958415985107422
applied_mathematics,Citation_Semantic,1,1,1,11,0.5998927892589356,[1987],[np.float64(0.22247094061832015)],['validated_citation_disruption'],0.04472088813781738
applied_mathematics,Citation_Direction,18,18,18,11,0.5998927892589356,"[1987, 1949, 1951, 1959, 1965, 1967, 1979, 1981, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2017, 2019, 2021]","[np.float64(0.9808651012022618), 0.765625, 0.7314285714285714, 0.7281553398058253, 0.7308612440191388, 0.6334545454545455, 0.5929608272022271, 0.8050293563753185, 0.4352318548387097, 0.43781406075786966, 0.48816936488169366, 0.4205204498461849, 0.4639284821205302, 0.5307457607228774, 0.514854874041621, 0.5303571428571429, 0.5137254901960785, 0.49434274091024655]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.04554009437561035
applied_mathematics,Semantic_Direction,19,19,19,11,0.5998927892589356,"[1949, 1951, 1959, 1965, 1967, 1979, 1981, 1985, 1987, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2017, 2019, 2021]","[0.765625, 0.7314285714285714, 0.7281553398058253, 0.7308612440191388, 0.6334545454545455, 0.5929608272022271, 0.8050293563753185, 0.5933077830188679, 0.5583941605839415, 0.4352318548387097, 0.43781406075786966, 0.48816936488169366, 0.4205204498461849, 0.4639284821205302, 0.5307457607228774, 0.514854874041621, 0.5303571428571429, 0.5137254901960785, 0.49434274091024655]","['validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility', 'validated_direction_volatility']",0.04593491554260254
